property_id,latitude,longitude,park,gym,shop
0b44ecf6a47d526b82eb0194ace21951,51.394663,-0.1946249,Morden Leisure Centre,Morden Leisure Centre,Lidl
f329a6292a881bc29c8387009a1f2fbb,51.5178304,-0.0670581,Spitalfields City Farm,Muscleworks Gym,Sainsbury's
6a09984766b7ef99218a3fb8f4f245f6,51.5178304,-0.0670581,Spitalfields City Farm,Muscleworks Gym,Sainsbury's
a72f109862933564755025bab304e042,51.5245575,-0.0561695,Spitalfields City Farm,Muscleworks Gym,Sainsbury's
95fabfeb1689aac6d0fd42e4c01be229,51.47811420000001,-0.1469996,Battersea Park,Pestana Chelsea Bridge Hotel & Spa,Waitrose & Partners
494de60b907b7bf72839d105b10c8723,51.5189256,-0.1730681,Italian Gardens,Royal Lancaster London,ALDI
bb07efe4755ee293ff4166e2f7c4f031,51.4394827,0.0727142,Charlton Athletic F.C. Training Ground,University Of Greenwich Dome Gym,Cinar village market
20d0519298c9c68c7877df1eb78152cd,51.631089,0.0002165,Ridgeway Park,The Wellness Works,Tesco Express
e4a2f86e296571b4756b72c572f49244,51.5409018,-0.1743372,Primrose Hill,Swiss Cottage Leisure Centre,Waitrose & Partners
4e79e8be109904006d23d59b8df426ab,51.5189256,-0.1730681,Italian Gardens,Royal Lancaster London,ALDI
e49a225a053358b9b38ffa0d7b3451a8,51.6488165,-0.0782884,Town Park,Nuffield Health Enfield Fitness & Wellbeing Gym,Tesco Superstore
d080173b6ffe9d6a837b06ecaa599ce8,51.5287203,-0.2014234,Paddington Recreation Ground,Paddington Recreation Ground,M&S Foodhall
932c0a213efbdda3a87f69ba0adb1e19,51.4720548,-0.2535028,Dukes Meadows,Virgin Active,M&S Foodhall
8e41172c6b41eff18e7cb915502efcc3,51.5086173,-0.0083977,Crossrail Place Roof Garden,Third Space Canary Wharf,Waitrose & Partners
c1c2daa6c67ca22d5b00d52e3cffbbf2,51.5330322,-0.1766523,Alexandra Road Park,1Rebel St John's Wood,ALDI
c12abccc8690eb3211b3860615422762,51.5144803,-0.1898553,Diana Memorial Playground,QUEENS skate dine bowl,Waitrose & Partners
7d930b62865cf6678c0ab79ae92f6959,51.5218975,-0.1531328,Queen Mary's Rose Gardens,The Marylebone Hotel,Marks and Spencer
389f9897c6852c2eef3baf62fea7cc60,51.5003349,-0.0177778,Crossrail Place Roof Garden,Third Space Canary Wharf,Waitrose & Partners
eeee568eafdab1043c64a6cdaa6952a1,51.4617121,-0.1156997,Stockwell Skate Park,Substation Brixton,Tesco Superstore
b8d3a72797c3357d1219342e75dd52fa,51.5728114,-0.1000159,Finsbury Park,West Reservoir Centre,Sainsbury's
911ace6cceba9a0269255e9a11482923,51.514471,-0.0755039,Sky Garden,Third Space City,Marks and Spencer
327d11cd48882ac4e890f2631173de98,51.4746761,-0.1543773,Battersea Park,Pestana Chelsea Bridge Hotel & Spa,M&S Foodhall
ae8e30980658c1241ff48fc63ec58b9a,51.4249292,-0.1406516,Furzedown Rec,Streatham Ice and Leisure Centre - Active Lambeth,Tesco Extra
c34b750107b6e5dd04c819b58fa16ecc,51.593575,-0.172848,No park,PureGym London Finchley,bp
360a22a27bd2c9361dbd50564fa0a2dc,51.5245727,-0.0229726,Tower Hamlets Cemetery Park,Mile End Park Leisure Centre and Stadium,Tesco Superstore
cd72462416ea5a89047a1daf6a3fdaf0,51.4018132,-0.2167825,Joseph Hood Recreation Ground,David Lloyd Raynes Park,bp
b086839de2133c3830ca1d8bcbf31253,51.4277891,-0.1944859,South Park Gardens,Third Space Wimbledon,Home Bargains
883c8cf4e76a763edc333d567ec4450f,51.4277891,-0.1944859,South Park Gardens,Third Space Wimbledon,Home Bargains
6aacdd9f4741c62cfbdb8efd1e4397c4,51.4414834,-0.1557779,No park,Balham Leisure Centre,Waitrose & Partners
ea2a8806e69bdee4f88ef20049139242,51.4718739,-0.3345783,Redlees Park,Isleworth Leisure Centre and Library,Tesco Express
