property_id,latitude,longitude,closest_station,distance
404c392b174073c3e900f6c849e8f5b2,51.5086937,-0.1484713,Green Park Underground Station,0.44
e080d2fb50c7f5ea52566b3361389785,51.4929596,-0.0365663,Canada Water Underground Station,1.05
e0b7d32da23b60edd180b3ce766a55b3,51.5086937,-0.1484713,Green Park Underground Station,0.44
6dc8f5a7ad39c99ebf35d60dd9f0057c,51.5429436,-0.1198104,Caledonian Road Underground Station,0.63
60df13aab8024e7df4fda979110193f4,51.4844444,0.0334846,,inf
0fbf8fae55f148424ba795d7baa3f651,51.465056,-0.1834316,Parsons Green Underground Station,1.68
607e3579e7ddf415d4cf20307f43b8b2,51.442799,-0.1888084,Wimbledon Park Underground Station,1.19
29410b2f7d698e2a966728b7c5d3c757,51.464116,-0.1025749,Brixton Underground Station,0.87
96d06ac6b279cbf47135185e350b180b,51.4774466,-0.1182103,Oval Underground Station,0.63
70185c8d4c70d95f62b3522342f5ff9f,51.4631651,-0.0157505,Lewisham DLR Station,0.26
204418dd1edb1d9952ba304dc1633a2d,51.5023211,-0.0127598,South Quay DLR Station,0.34
6bd7b7f2484c7445a89a84dc0e78c3e9,51.4405217,-0.1674001,Tooting Bec Underground Station,0.76
86c6095143d0c614a7355098421c6542,51.4974289,-0.0335839,Heron Quays DLR Station,1.07
64d7d9c592987b35433cff827482bc58,51.4548898,-0.3119611,Richmond Underground Station,1.19
8e0d59b740e5b7e964297b0f095fb7b5,51.5801995,-0.209824,Brent Cross Underground Station,0.47
84bffc29a86d960e1294bb9b14370c59,51.4644531,-0.1466759,Clapham Common Underground Station,0.65
3745c91e7a9af14d48a0ac8b0a2fd730,51.4390303,-0.1654362,Tooting Bec Underground Station,0.54
21da38860a44141b2e07ea3c6ed42f74,51.5874234,-0.0058466,Walthamstow Central Underground Station,1.09
4e778f36db5632a85e8a7c8cdefdf136,49.205031,-122.8342661,,
dd5e4ad251b264addf6fa7e9ced255ee,51.464116,-0.1025749,Brixton Underground Station,0.87
ac2bb3f48f3f873bf3d9910404da2da9,51.5234505,-0.1003176,Barbican Underground Station,0.39
3c28cf99a235a45d3c29eb14047b6da4,51.557356,-0.1032715,Arsenal Underground Station,0.32
1c81e1b654bd1af146a501c09bc9dd31,51.464116,-0.1025749,Brixton Underground Station,0.87
df6780b3f53d466b9079651f389f456b,51.5215552,-0.1191127,Russell Square Underground Station,0.4
243368cb98e4acd7fb5f2de5d14800c4,51.4957528,-0.2053284,Kensington (Olympia) Underground Station,0.39
2490fb531cf46d1823f6b25952081455,51.5080941,0.0196766,IFS Cloud Royal Docks,0.15
baca3f338a20b13614cc2540bc509b6b,51.453501,-0.1297924,Clapham Common Underground Station,1.09
fa04d9ff3038987639f49ad172a1fe0f,51.4939569,-0.1908765,Earl's Court Underground Station,0.27
a933839ac4365182cb1073a45dd22f2b,51.4995647,-0.0380175,Canada Water Underground Station,0.81
eada9b53c9ed4ce3072821498411efd3,51.4839683,-0.1023114,Kennington Underground Station,0.55
243368cb98e4acd7fb5f2de5d14800c4,51.4957528,-0.2053284,Kensington (Olympia) Underground Station,0.39
1a6e30bbe4837bf1ce9dc87c1bcda038,51.5037101,-0.0937472,Borough Underground Station,0.28
1b882ec9e4f7c1b8d01356dac367d3fc,51.5904256,-0.1032137,Turnpike Lane Underground Station,0.02
ea2f5e9211e15bf9ec295d7718235650,51.4805992,-0.2178135,Barons Court Underground Station,1.12
d95a28aec0d5f506c5b0c1ef06a0db30,51.4763316,-0.1054096,Oval Underground Station,0.78
90cf1d61b3263617759ade9521ac5ecf,51.4174008,-0.1320286,,inf
efb48516758042edd729d2c9b0689af9,51.5945554,-0.147448,East Finchley Underground Station,1.47
26ad0013c3532d5366b13ff3396a281f,51.5752821,-0.0081974,Walthamstow Central Underground Station,1.18
8d64fd9cc86c52074b7fe08aa1ca93f9,51.5328644,-0.0873007,Old Street Underground Station,0.78
915c3d80b07321baa21edc94d224e58c,51.4293313,-0.1515794,Tooting Bec Underground Station,0.91
e0b7d32da23b60edd180b3ce766a55b3,51.5086937,-0.1484713,Green Park Underground Station,0.44
4adb568b2ab74b51ca4754a4ae1a7696,51.5028723,-0.0144318,Canary Wharf Underground Station,0.27
2c6f6c2aea7866c391f074d3237366c7,51.5671917,-0.0301907,Walthamstow Central Underground Station,1.89
aa27d31581ebec8709bd13ee181c307d,51.4978659,-0.2654253,Chiswick Park Underground Station,0.4
